team,player,club,club_country,club_with_country,position,date_of_birth,age,age_as_of,age_source,age_source_url,fc26_ovr,rating_source,rating_confidence,notes,source_url,rating_url,headshot_url,last_verified_at
Uruguay,Fernando Muslera,Estudiantes,Argentina,Estudiantes [Argentina],GK,1986-06-16,40,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/fernando-muslera-182494,79,EA official (per prior chat),medium,Veteran legend; hugely respected for big-tournament experience.,,https://www.fcratings.com/fernando-muslera-182494,https://www.fcratings.com/assets/images/post/182494.png,2026-06-26
Uruguay,Juan Manuel Sanabria,Real Salt Lake,United States,Real Salt Lake [United States],Fullback / wingback / wide mid,2000-03-29,26,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Juan_Manuel_Sanabria,74,third-party FC database (per prior chat),low,"Less globally famous; mobile, versatile, high-energy Bielsa-type player.",,,,2026-06-26
Uruguay,Sebastian Caceres,Club America,Mexico,Club America [Mexico],CB,1999-08-18,26,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Sebasti%C3%A1n_C%C3%A1ceres,75,third-party FC database (per prior chat),low,Solid physical defender; better known in the Americas than globally.,,,,2026-06-26
Uruguay,Guillermo Varela,Flamengo,Brazil,Flamengo [Brazil],RB / CB,1993-03-24,33,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Guillermo_Varela,76,third-party FC database (per prior chat),low,"Experienced, tough, tactically flexible veteran profile.",,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Guillermo_Varela_2022.jpg/250px-Guillermo_Varela_2022.jpg,2026-06-27
Uruguay,Mathias Olivera,Napoli,Italy,Napoli [Italy],LB / CB,1997-10-31,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/mathias-olivera-240716,78,EA official (per prior chat),medium,Very solid top-level defender; underrated outside Serie A followers.,,https://www.fcratings.com/mathias-olivera-240716,https://www.fcratings.com/assets/images/post/240716.png,2026-06-26
Uruguay,Manuel Ugarte,Manchester United,England,Manchester United [England],DM,2001-04-11,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/manuel-ugarte-253306,79,EA official (per prior chat),medium,High-profile ball-winner; tactically valuable despite not being flashy.,,https://www.fcratings.com/manuel-ugarte-253306,https://www.fcratings.com/assets/images/post/253306.png,2026-06-26
Uruguay,Rodrigo Bentancur,Tottenham Hotspur,England,Tottenham Hotspur [England],CM / DM,1997-06-25,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/rodrigo-bentancur-227535,80,EA official (per prior chat),medium,"Elegant, experienced midfielder; well-known from Juventus and Spurs.",,https://www.fcratings.com/rodrigo-bentancur-227535,https://www.fcratings.com/assets/images/post/227535.png,2026-06-26
Uruguay,Federico Valverde,Real Madrid,Spain,Real Madrid [Spain],CM / captain,1998-07-22,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/federico-valverde-239053,89,EA official (per prior chat),medium,"Uruguay's clear global star; elite engine, shooting and leadership.",,https://www.fcratings.com/federico-valverde-239053,https://www.fcratings.com/assets/images/post/239053.png,2026-06-26
Uruguay,Agustin Canobbio,Fluminense,Brazil,Fluminense [Brazil],RW / forward,1998-10-01,27,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Agust%C3%ADn_Canobbio,75,third-party FC database (per prior chat),low,Energetic wide attacker; useful chaos player rather than household name.,,,,2026-06-26
Uruguay,Darwin Nunez,Al-Hilal,Saudi Arabia,Al-Hilal [Saudi Arabia],ST,1999-06-24,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/darwin-nunez-253072,79,EA official (per prior chat),medium,"Famous, explosive, polarizing; obvious talent with consistency questions.",,https://www.fcratings.com/darwin-nunez-253072,https://www.fcratings.com/assets/images/post/253072.png,2026-06-26
Uruguay,Maximiliano Araujo,Sporting CP,Portugal,Sporting CP [Portugal],LW / wide mid,2000-02-15,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/maximiliano-araujo-254817,77,EA official (per prior chat),medium,"Fast, direct, exciting wide player; one of Uruguay's more fun attackers.",,https://www.fcratings.com/maximiliano-araujo-254817,https://www.fcratings.com/assets/images/post/254817.png,2026-06-26
Spain,Unai Simon,Athletic Club,Spain,Athletic Club [Spain],GK,1997-06-11,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/unai-simon-230869,85,EA official (per prior chat),medium,Spain's trusted No. 1; respected more than celebrity-famous.,,https://www.fcratings.com/unai-simon-230869,https://www.fcratings.com/assets/images/post/230869.png,2026-06-26
Spain,Marcos Llorente,Atletico Madrid,Spain,Atletico Madrid [Spain],RB / utility defender-midfielder,1995-01-30,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/marcos-llorente-226161,84,EA official (per prior chat),medium,Extremely versatile and athletic; admired by serious fans.,,https://www.fcratings.com/marcos-llorente-226161,https://www.fcratings.com/assets/images/post/226161.png,2026-06-26
Spain,Pau Cubarsi,Barcelona,Spain,Barcelona [Spain],CB,2007-01-22,19,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/pau-cubarsi-278046,82,EA official (per prior chat),medium,Elite young defensive talent; calm modern ball-playing centre-back.,,https://www.fcratings.com/pau-cubarsi-278046,https://www.fcratings.com/assets/images/post/278046.png,2026-06-26
Spain,Aymeric Laporte,Athletic Club,Spain,Athletic Club [Spain],CB,1994-05-27,32,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/aymeric-laporte-212218,82,EA official (per prior chat),medium,Experienced polished left-footed defender; still high-class.,,https://www.fcratings.com/aymeric-laporte-212218,https://www.fcratings.com/assets/images/post/212218.png,2026-06-26
Spain,Marc Cucurella,Real Madrid,Spain,Real Madrid [Spain],LB,1998-07-22,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/marc-cucurella-239231,84,EA official (game team may differ; per prior chat),low,"Very recognizable, energetic and aggressive; divisive but top-level.",,https://www.fcratings.com/marc-cucurella-239231,https://www.fcratings.com/assets/images/post/239231.png,2026-06-26
Spain,Rodri,Manchester City,England,Manchester City [England],DM,1996-06-22,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/rodri-231866,90,EA official (per prior chat),medium,Spain's structural anchor and one of the world's elite midfielders.,,https://www.fcratings.com/rodri-231866,https://www.fcratings.com/assets/images/post/231866.png,2026-06-26
